date,DOY,d
31-03-2020,91,0.99926
01-04-2020,92,0.99954
02-04-2020,93,0.99983
03-04-2020,94,1.00012
04-04-2020,95,1.00041
05-04-2020,96,1.00069
06-04-2020,97,1.00098
07-04-2020,98,1.00127
08-04-2020,99,1.00155
09-04-2020,100,1.00184
10-04-2020,101,1.00212
11-04-2020,102,1.00240
12-04-2020,103,1.00269
13-04-2020,104,1.00297
14-04-2020,105,1.00325
15-04-2020,106,1.00353
16-04-2020,107,1.00381
17-04-2020,108,1.00409
18-04-2020,109,1.00437
19-04-2020,110,1.00464
20-04-2020,111,1.00492
21-04-2020,112,1.00519
22-04-2020,113,1.00546
23-04-2020,114,1.00573
24-04-2020,115,1.00600
25-04-2020,116,1.00626
26-04-2020,117,1.00653
27-04-2020,118,1.00679
28-04-2020,119,1.00705
29-04-2020,120,1.00731
30-04-2020,121,1.00756
01-05-2020,122,1.00781
02-05-2020,123,1.00806
03-05-2020,124,1.00831
04-05-2020,125,1.00856
05-05-2020,126,1.00880
06-05-2020,127,1.00904
07-05-2020,128,1.00928
08-05-2020,129,1.00952
09-05-2020,130,1.00975
10-05-2020,131,1.00998
11-05-2020,132,1.01020
12-05-2020,133,1.01043
13-05-2020,134,1.01065
14-05-2020,135,1.01087
15-05-2020,136,1.01108
16-05-2020,137,1.01129
17-05-2020,138,1.01150
18-05-2020,139,1.01170
19-05-2020,140,1.01191
20-05-2020,141,1.01210
21-05-2020,142,1.01230
22-05-2020,143,1.01249
23-05-2020,144,1.01267
24-05-2020,145,1.01286
25-05-2020,146,1.01304
26-05-2020,147,1.01321
27-05-2020,148,1.01338
28-05-2020,149,1.01355
29-05-2020,150,1.01371
30-05-2020,151,1.01387
31-05-2020,152,1.01403
01-06-2020,153,1.01418
02-06-2020,154,1.01433
03-06-2020,155,1.01447
04-06-2020,156,1.01461
05-06-2020,157,1.01475
06-06-2020,158,1.01488
07-06-2020,159,1.01500
08-06-2020,160,1.01513
09-06-2020,161,1.01524
10-06-2020,162,1.01536
11-06-2020,163,1.01547
12-06-2020,164,1.01557
13-06-2020,165,1.01567
14-06-2020,166,1.01577
15-06-2020,167,1.01586
16-06-2020,168,1.01595
17-06-2020,169,1.01603
18-06-2020,170,1.01610
19-06-2020,171,1.01618
20-06-2020,172,1.01625
21-06-2020,173,1.01631
22-06-2020,174,1.01637
23-06-2020,175,1.01642
24-06-2020,176,1.01647
25-06-2020,177,1.01652
26-06-2020,178,1.01656
27-06-2020,179,1.01659
28-06-2020,180,1.01662
29-06-2020,181,1.01665
30-06-2020,182,1.01667
01-07-2020,183,1.01668
02-07-2020,184,1.01670
03-07-2020,185,1.01670
04-07-2020,186,1.01670
05-07-2020,187,1.01670
06-07-2020,188,1.01669
07-07-2020,189,1.01668
08-07-2020,190,1.01666
09-07-2020,191,1.01664
10-07-2020,192,1.01661
11-07-2020,193,1.01658
12-07-2020,194,1.01655
13-07-2020,195,1.01650
14-07-2020,196,1.01646
15-07-2020,197,1.01641
16-07-2020,198,1.01635
17-07-2020,199,1.01629
18-07-2020,200,1.01623
19-07-2020,201,1.01616
20-07-2020,202,1.01609
21-07-2020,203,1.01601
22-07-2020,204,1.01592
23-07-2020,205,1.01584
24-07-2020,206,1.01575
25-07-2020,207,1.01565
26-07-2020,208,1.01555
27-07-2020,209,1.01544
28-07-2020,210,1.01533
29-07-2020,211,1.01522
30-07-2020,212,1.01510
31-07-2020,213,1.01497
01-08-2020,214,1.01485
02-08-2020,215,1.01471
03-08-2020,216,1.01458
04-08-2020,217,1.01444
05-08-2020,218,1.01429
06-08-2020,219,1.01414
07-08-2020,220,1.01399
08-08-2020,221,1.01383
09-08-2020,222,1.01367
10-08-2020,223,1.01351
11-08-2020,224,1.01334
12-08-2020,225,1.01317
13-08-2020,226,1.01299
14-08-2020,227,1.01281
15-08-2020,228,1.01263
16-08-2020,229,1.01244
17-08-2020,230,1.01225
18-08-2020,231,1.01205
19-08-2020,232,1.01186
20-08-2020,233,1.01165
21-08-2020,234,1.01145
22-08-2020,235,1.01124
23-08-2020,236,1.01103
24-08-2020,237,1.01081
25-08-2020,238,1.01060
26-08-2020,239,1.01037
27-08-2020,240,1.01015
28-08-2020,241,1.00992
29-08-2020,242,1.00969
30-08-2020,243,1.00946
31-08-2020,244,1.00922
01-09-2020,245,1.00898
02-09-2020,246,1.00874
03-09-2020,247,1.00850
04-09-2020,248,1.00825
05-09-2020,249,1.00800
06-09-2020,250,1.00775
07-09-2020,251,1.00750
08-09-2020,252,1.00724
09-09-2020,253,1.00698
10-09-2020,254,1.00672
11-09-2020,255,1.00646
12-09-2020,256,1.00620
13-09-2020,257,1.00593
14-09-2020,258,1.00566
15-09-2020,259,1.00539
16-09-2020,260,1.00512
17-09-2020,261,1.00485
18-09-2020,262,1.00457
19-09-2020,263,1.00430
20-09-2020,264,1.00402
21-09-2020,265,1.00374
22-09-2020,266,1.00346
23-09-2020,267,1.00318
24-09-2020,268,1.00290
25-09-2020,269,1.00262
26-09-2020,270,1.00234
27-09-2020,271,1.00205
28-09-2020,272,1.00177
29-09-2020,273,1.00148
30-09-2020,274,1.00119
01-10-2020,275,1.00091
02-10-2020,276,1.00062
03-10-2020,277,1.00033
04-10-2020,278,1.00005
05-10-2020,279,0.99976
06-10-2020,280,0.99947
07-10-2020,281,0.99918
08-10-2020,282,0.99890
09-10-2020,283,0.99861
10-10-2020,284,0.99832
11-10-2020,285,0.99804
12-10-2020,286,0.99775
13-10-2020,287,0.99747
14-10-2020,288,0.99718
15-10-2020,289,0.99690
16-10-2020,290,0.99662
17-10-2020,291,0.99634
18-10-2020,292,0.99605
19-10-2020,293,0.99577
20-10-2020,294,0.99550
21-10-2020,295,0.99522
22-10-2020,296,0.99494
23-10-2020,297,0.99467
24-10-2020,298,0.99440
25-10-2020,299,0.99412
26-10-2020,300,0.99385
27-10-2020,301,0.99359
28-10-2020,302,0.99332
29-10-2020,303,0.99306
30-10-2020,304,0.99279
31-10-2020,305,0.99253
01-11-2020,306,0.99228
02-11-2020,307,0.99202
03-11-2020,308,0.99177
04-11-2020,309,0.99152
05-11-2020,310,0.99127
06-11-2020,311,0.99102
07-11-2020,312,0.99078
08-11-2020,313,0.99054
09-11-2020,314,0.99030
10-11-2020,315,0.99007
11-11-2020,316,0.98983
12-11-2020,317,0.98961
13-11-2020,318,0.98938
14-11-2020,319,0.98916
15-11-2020,320,0.98894
16-11-2020,321,0.98872
17-11-2020,322,0.98851
18-11-2020,323,0.98830
19-11-2020,324,0.98809
20-11-2020,325,0.98789
21-11-2020,326,0.98769
22-11-2020,327,0.98750
23-11-2020,328,0.98731
24-11-2020,329,0.98712
25-11-2020,330,0.98694
26-11-2020,331,0.98676
27-11-2020,332,0.98658
28-11-2020,333,0.98641
29-11-2020,334,0.98624
30-11-2020,335,0.98608
01-12-2020,336,0.98592
02-12-2020,337,0.98577
03-12-2020,338,0.98562
04-12-2020,339,0.98547
05-12-2020,340,0.98533
06-12-2020,341,0.98519
07-12-2020,342,0.98506
08-12-2020,343,0.98493
09-12-2020,344,0.98481
10-12-2020,345,0.98469
11-12-2020,346,0.98457
12-12-2020,347,0.98446
13-12-2020,348,0.98436
14-12-2020,349,0.98426
15-12-2020,350,0.98416
16-12-2020,351,0.98407
17-12-2020,352,0.98399
18-12-2020,353,0.98391
19-12-2020,354,0.98383
20-12-2020,355,0.98376
21-12-2020,356,0.98370
22-12-2020,357,0.98363
23-12-2020,358,0.98358
24-12-2020,359,0.98353
25-12-2020,360,0.98348
26-12-2020,361,0.98344
27-12-2020,362,0.98340
28-12-2020,363,0.98337
29-12-2020,364,0.98335
30-12-2020,365,0.98333
31-12-2020,366,0.98331
,,
